date,average,low,lowtime,high,hightime
2016-06-22,24.3,20.9,2341,30.2,1313
2016-06-23,24.7,19.6,434,29.4,1423
2016-06-24,23.1,21.1,2354,25.7,1536
2016-06-25,22.8,19.2,459,26.7,1705
2016-06-26,24.4,19.4,532,30.3,1443
2016-06-27,24.4,19.9,458,29.5,1507
2016-06-28,24.7,20.4,531,29.7,1405
2016-06-29,25.3,20.9,535,30.2,1420
2016-06-30,24.6,23,455,26.9,1238
2016-07-01,24,22,2305,26.6,1159
2016-07-02,23.5,20.6,630,27.7,1645
2016-07-03,23.5,21.1,449,26.8,1711
2016-07-04,21.8,20.2,2331,24.1,848
2016-07-05,23.1,20.2,1,24.8,1556
2016-07-06,22.9,20.3,434,26.9,1727
2016-07-07,24,20.1,245,28.5,1534
2016-07-08,27.3,21.2,546,32.4,1621
2016-07-09,27.7,23.2,548,32.7,1518
2016-07-10,27.9,23.2,558,33.1,1425
2016-07-11,28.4,24.8,619,33.4,1450
2016-07-12,26.3,22.1,638,30.9,1325
2016-07-13,26.3,23.2,510,29.5,1518
2016-07-14,27.5,24,539,32.4,1535
2016-07-15,26.2,23.7,543,29.2,1056
2016-07-16,20.8,19.8,605,23.8,1
2016-07-17,21.7,20.4,451,23.1,1309
2016-07-18,24.4,20.7,417,28.4,1734
2016-07-19,27.1,20.9,523,32.4,1456
2016-07-20,28.6,24,551,32.9,1511
2016-07-21,28.3,24.9,553,32.2,1559
2016-07-22,29.1,25.3,603,34.1,1620
