Country,Subgroup,Year,Source,Unit,Value
Afghanistan,Male,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,66
Afghanistan,Female,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,40
Afghanistan,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,47
Afghanistan,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,73
Afghanistan,Ratio of urban to rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1.6
Albania,Male,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90
Albania,Female,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91
Albania,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91
Albania,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,90
Albania,Ratio of urban to rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1
Albania,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,89
Albania,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,91
Albania,Ratio of richest to poorest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1
Algeria,Male,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,97
Algeria,Female,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,96
Algeria,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,95
Algeria,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98
Algeria,Ratio of urban to rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1
Algeria,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,93
Algeria,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,98
Algeria,Ratio of richest to poorest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1.1
Angola,Male,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,77
Angola,Female,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,75
Angola,Rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,67
Angola,Urban,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,85
Angola,Ratio of urban to rural,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1.3
Angola,Poorest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,63
Angola,Richest 20%,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,78
Angola,Ratio of richest to poorest,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Ratio,1.2
Armenia,Male,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys",Percent,99
