line,Stop,date,PM10,CO2,HCHO,CO,NO2,Rn,TVOC,석면,O3
1호선,서울역1,06월 22일,87.5 ,729 ,14.6 ,0.9 ,0.027 ,15.6 ,191.1 ,0.01,0.023 
1호선,시청1,06월 23일,105.3 ,601 ,13.2 ,0.7 ,0.026 ,20.8 ,175.6 ,0.01,0.025 
1호선,종각,09월 18일,104.6 ,557 ,11.5 ,0.9 ,0.026 ,12.9 ,224.8 ,0.01,0.010 
1호선,종로3가1,06월 25일,112.0 ,698 ,12.1 ,0.7 ,0.032 ,7.0 ,283.1 ,0.01,0.017 
1호선,종로5가,06월 24일,121.7 ,723 ,17.0 ,1.2 ,0.027 ,16.4 ,149.7 ,0.01,0.031 
1호선,동대문1,06월 26일,111.7 ,611 ,8.5 ,0.9 ,0.031 ,13.4 ,148.0 ,0.01,0.022 
1호선,동묘앞,06월 30일,110.3 ,702 ,10.4 ,0.8 ,0.027 ,16.1 ,230.3 ,0.01,0.026 
1호선,신설동1,06월 30일,129.7 ,641 ,13.3 ,0.7 ,0.029 ,26.4 ,296.9 ,0.01,0.018 
1호선,제기동,06월 29일,109.3 ,654 ,13.1 ,0.7 ,0.027 ,17.3 ,174.0 ,0.01,0.023 
1호선,청량리,06월 29일,103.3 ,653 ,8.3 ,0.6 ,0.027 ,10.1 ,149.5 ,0.01,0.025 
2호선,시청2,06월 23일,111.4 ,683 ,17.1 ,0.8 ,0.024 ,21.8 ,177.7 ,0.01,0.023 
2호선,을지로입구,08월 03일,80.7 ,596 ,9.9 ,1.1 ,0.024 ,13.9 ,82.5 ,0.01,0.013 
2호선,을지로3가2,08월 04일,88.0 ,515 ,4.6 ,1.0 ,0.018 ,14.3 ,111.2 ,0.01,0.008 
2호선,을지로4가,08월 05일,71.7 ,490 ,14.7 ,0.9 ,0.021 ,17.1 ,142.0 ,0.01,0.011 
2호선,동대문역사문화공원2,08월 06일,90.1 ,513 ,20.2 ,0.8 ,0.022 ,24.6 ,142.6 ,0.01,0.008 
2호선,신당,08월 05일,83.5 ,511 ,12.8 ,1.0 ,0.019 ,20.4 ,94.0 ,0.01,0.012 
2호선,상왕십리,08월 07일,86.0 ,525 ,16.2 ,0.8 ,0.024 ,25.1 ,151.0 ,0.01,0.013 
2호선,왕십리,08월 07일,88.2 ,529 ,24.8 ,0.9 ,0.023 ,11.9 ,126.6 ,0.01,0.014 
2호선,잠실,07월 02일,94.7 ,671 ,15.3 ,0.8 ,0.029 ,17.0 ,357.5 ,0.01,0.016 
2호선,신천,07월 03일,90.0 ,517 ,12.7 ,0.8 ,0.031 ,16.8 ,120.1 ,0.01,0.014 
2호선,종합운동장,07월 02일,91.4 ,557 ,12.4 ,0.6 ,0.026 ,11.1 ,297.3 ,0.01,0.019 
2호선,삼성,07월 08일,93.0 ,630 ,9.7 ,0.7 ,0.027 ,13.6 ,110.0 ,0.01,0.019 
2호선,선릉,07월 08일,94.2 ,710 ,9.8 ,0.9 ,0.022 ,22.9 ,149.9 ,0.01,0.016 
2호선,역삼,07월 09일,95.9 ,721 ,11.3 ,1.0 ,0.029 ,15.0 ,358.4 ,0.01,0.012 
2호선,강남,07월 09일,92.3 ,767 ,15.7 ,0.8 ,0.027 ,18.6 ,342.7 ,0.01,0.023 
2호선,교대2,07월 10일,89.8 ,687 ,12.1 ,0.7 ,0.023 ,12.6 ,231.4 ,0.01,0.016 
2호선,서초,07월 20일,90.9 ,602 ,9.7 ,0.8 ,0.022 ,10.6 ,132.0 ,0.01,0.014 
2호선,방배,07월 20일,81.1 ,589 ,9.1 ,0.8 ,0.023 ,19.6 ,384.2 ,0.01,0.017 
2호선,사당2,07월 21일,81.9 ,637 ,6.3 ,0.8 ,0.024 ,14.1 ,116.6 ,0.01,0.009 
2호선,낙성대,07월 22일,89.9 ,539 ,14.8 ,1.1 ,0.030 ,16.1 ,167.6 ,0.01,0.012 
2호선,서울대입구,07월 23일,90.2 ,553 ,14.4 ,1.0 ,0.033 ,15.3 ,132.6 ,0.01,0.009 
2호선,봉천,07월 23일,95.0 ,541 ,11.4 ,0.8 ,0.031 ,16.0 ,181.5 ,0.01,0.012 
2호선,신림,07월 24일,101.3 ,653 ,12.3 ,0.9 ,0.029 ,8.5 ,145.0 ,0.01,0.008 
2호선,신도림,07월 24일,92.8 ,667 ,11.8 ,0.7 ,0.029 ,20.2 ,181.5 ,0.01,0.009 
2호선,문래,07월 28일,87.2 ,512 ,9.0 ,0.9 ,0.021 ,11.0 ,117.7 ,0.01,0.017 
2호선,영등포구청,07월 29일,94.1 ,508 ,7.4 ,0.8 ,0.027 ,7.2 ,153.0 ,0.01,0.012 
2호선,합정,07월 29일,88.9 ,526 ,7.9 ,0.8 ,0.023 ,11.0 ,119.3 ,0.01,0.009 
2호선,홍대입구,07월 30일,89.9 ,607 ,12.8 ,1.1 ,0.029 ,8.0 ,152.9 ,0.01,0.022 
2호선,신촌,07월 30일,98.1 ,608 ,7.7 ,1.0 ,0.027 ,7.6 ,106.5 ,0.01,0.021 
2호선,이대,07월 31일,99.1 ,592 ,9.4 ,1.0 ,0.025 ,10.2 ,174.0 ,0.01,0.018 
2호선,아현,07월 31일,98.4 ,575 ,11.9 ,0.8 ,0.020 ,11.8 ,86.6 ,0.01,0.014 
2호선,충정로,08월 03일,83.5 ,515 ,5.4 ,0.9 ,0.021 ,17.2 ,128.4 ,0.01,0.009 
2호선,도림천,07월 27일,84.8 ,506 ,7.0 ,0.9 ,0.020 ,11.7 ,237.7 ,0.01,0.006 
2호선,양천구청,07월 27일,84.7 ,515 ,8.9 ,1.0 ,0.022 ,13.7 ,198.5 ,0.01,0.004 
